Direction,Year,Date,Country,Product,Transport_mode,Measure,Value
Exports,2017,16/04/2017,All,All,All,$,161000000
Exports,2017,17/04/2017,All,All,All,$,213000000
Exports,2017,18/04/2017,All,All,All,$,87000000
Exports,2017,19/04/2017,All,All,All,$,99000000
Exports,2017,20/04/2017,All,All,All,$,130000000
Exports,2017,21/04/2017,All,All,All,$,118000000
Exports,2017,22/04/2017,All,All,All,$,125000000
Exports,2017,23/04/2017,All,All,All,$,218000000
Exports,2017,24/04/2017,All,All,All,$,234000000
Exports,2017,25/04/2017,All,All,All,$,157000000
Exports,2017,26/04/2017,All,All,All,$,81000000
Exports,2017,27/04/2017,All,All,All,$,197000000
Exports,2017,28/04/2017,All,All,All,$,211000000
Exports,2017,29/04/2017,All,All,All,$,146000000
Exports,2017,30/04/2017,All,All,All,$,171000000
Exports,2017,01/05/2017,All,All,All,$,199000000
Exports,2017,02/05/2017,All,All,All,$,115000000
Exports,2017,03/05/2017,All,All,All,$,134000000
Exports,2017,04/05/2017,All,All,All,$,151000000
Exports,2017,05/05/2017,All,All,All,$,156000000
Exports,2017,06/05/2017,All,All,All,$,157000000
Exports,2017,07/05/2017,All,All,All,$,179000000
Exports,2017,08/05/2017,All,All,All,$,190000000
Exports,2017,09/05/2017,All,All,All,$,109000000
Exports,2017,10/05/2017,All,All,All,$,151000000
Exports,2017,11/05/2017,All,All,All,$,134000000
Exports,2017,12/05/2017,All,All,All,$,167000000
Exports,2017,13/05/2017,All,All,All,$,163000000
Exports,2017,14/05/2017,All,All,All,$,162000000
Exports,2017,15/05/2017,All,All,All,$,218000000
Exports,2017,16/05/2017,All,All,All,$,126000000
Exports,2017,17/05/2017,All,All,All,$,112000000
Exports,2017,18/05/2017,All,All,All,$,185000000
Exports,2017,19/05/2017,All,All,All,$,164000000
Exports,2017,20/05/2017,All,All,All,$,145000000
Exports,2017,21/05/2017,All,All,All,$,212000000
Exports,2017,22/05/2017,All,All,All,$,189000000
Exports,2017,23/05/2017,All,All,All,$,96000000
Exports,2017,24/05/2017,All,All,All,$,177000000
Exports,2017,25/05/2017,All,All,All,$,146000000
Exports,2017,26/05/2017,All,All,All,$,179000000
Exports,2017,27/05/2017,All,All,All,$,153000000
Exports,2017,28/05/2017,All,All,All,$,182000000
Exports,2017,29/05/2017,All,All,All,$,209000000
Exports,2017,30/05/2017,All,All,All,$,112000000
Exports,2017,31/05/2017,All,All,All,$,133000000
Exports,2017,01/06/2017,All,All,All,$,141000000
Exports,2017,02/06/2017,All,All,All,$,192000000
Exports,2017,03/06/2017,All,All,All,$,140000000
Exports,2017,04/06/2017,All,All,All,$,199000000
Exports,2017,05/06/2017,All,All,All,$,187000000
Exports,2017,06/06/2017,All,All,All,$,129000000
Exports,2017,07/06/2017,All,All,All,$,75000000
Exports,2017,08/06/2017,All,All,All,$,159000000
Exports,2017,09/06/2017,All,All,All,$,230000000
Exports,2017,10/06/2017,All,All,All,$,159000000
Exports,2017,11/06/2017,All,All,All,$,159000000
Exports,2017,12/06/2017,All,All,All,$,205000000
Exports,2017,13/06/2017,All,All,All,$,91000000
Exports,2017,14/06/2017,All,All,All,$,119000000
Exports,2017,15/06/2017,All,All,All,$,133000000
Exports,2017,16/06/2017,All,All,All,$,146000000
Exports,2017,17/06/2017,All,All,All,$,143000000
Exports,2017,18/06/2017,All,All,All,$,203000000
Exports,2017,19/06/2017,All,All,All,$,205000000
Exports,2017,20/06/2017,All,All,All,$,99000000
Exports,2017,21/06/2017,All,All,All,$,149000000
Exports,2017,22/06/2017,All,All,All,$,160000000
Exports,2017,23/06/2017,All,All,All,$,148000000
Exports,2017,24/06/2017,All,All,All,$,194000000
Exports,2017,25/06/2017,All,All,All,$,176000000
Exports,2017,26/06/2017,All,All,All,$,168000000
Exports,2017,27/06/2017,All,All,All,$,144000000
Exports,2017,28/06/2017,All,All,All,$,142000000
Exports,2017,29/06/2017,All,All,All,$,124000000
Exports,2017,30/06/2017,All,All,All,$,173000000
Exports,2017,01/07/2017,All,All,All,$,106000000
Exports,2017,02/07/2017,All,All,All,$,200000000
Exports,2017,03/07/2017,All,All,All,$,146000000
Exports,2017,04/07/2017,All,All,All,$,118000000
Exports,2017,05/07/2017,All,All,All,$,82000000
Exports,2018,03/02/2018,All,All,All,$,146000000
Exports,2018,04/02/2018,All,All,All,$,177000000
Exports,2018,05/02/2018,All,All,All,$,176000000
Exports,2018,06/02/2018,All,All,All,$,116000000
Exports,2018,07/02/2018,All,All,All,$,129000000
Exports,2018,08/02/2018,All,All,All,$,127000000
Exports,2018,09/02/2018,All,All,All,$,163000000
Exports,2018,10/02/2018,All,All,All,$,115000000
Exports,2018,11/02/2018,All,All,All,$,145000000
Exports,2018,12/02/2018,All,All,All,$,256000000
Exports,2018,13/02/2018,All,All,All,$,87000000
Exports,2018,14/02/2018,All,All,All,$,91000000
Exports,2018,15/02/2018,All,All,All,$,165000000
Exports,2018,16/02/2018,All,All,All,$,157000000
Exports,2018,17/02/2018,All,All,All,$,81000000
Exports,2018,18/02/2018,All,All,All,$,199000000
Exports,2018,19/02/2018,All,All,All,$,277000000
Exports,2018,20/02/2018,All,All,All,$,120000000
Exports,2018,21/02/2018,All,All,All,$,151000000
Exports,2018,22/02/2018,All,All,All,$,168000000
Exports,2018,23/02/2018,All,All,All,$,178000000
Exports,2018,24/02/2018,All,All,All,$,157000000
Exports,2018,25/02/2018,All,All,All,$,181000000
Exports,2018,26/02/2018,All,All,All,$,260000000
Exports,2018,27/02/2018,All,All,All,$,96000000
Exports,2018,28/02/2018,All,All,All,$,197000000
Exports,2018,01/03/2018,All,All,All,$,130000000
Exports,2018,02/03/2018,All,All,All,$,135000000
Exports,2018,03/03/2018,All,All,All,$,133000000
Exports,2018,04/03/2018,All,All,All,$,161000000
Exports,2018,05/03/2018,All,All,All,$,280000000
Exports,2018,06/03/2018,All,All,All,$,118000000
Exports,2018,07/03/2018,All,All,All,$,123000000
Exports,2018,08/03/2018,All,All,All,$,151000000
Exports,2018,09/03/2018,All,All,All,$,143000000
Exports,2018,10/03/2018,All,All,All,$,99000000
Exports,2018,11/03/2018,All,All,All,$,239000000
Exports,2018,12/03/2018,All,All,All,$,272000000
Exports,2018,13/03/2018,All,All,All,$,86000000
Exports,2018,14/03/2018,All,All,All,$,118000000
Exports,2018,15/03/2018,All,All,All,$,113000000
Exports,2018,16/03/2018,All,All,All,$,130000000
Exports,2018,17/03/2018,All,All,All,$,126000000
Exports,2018,18/03/2018,All,All,All,$,167000000
Exports,2018,19/03/2018,All,All,All,$,242000000
Exports,2018,20/03/2018,All,All,All,$,63000000
Exports,2018,21/03/2018,All,All,All,$,134000000
Exports,2018,22/03/2018,All,All,All,$,146000000
Exports,2018,23/03/2018,All,All,All,$,146000000
Exports,2018,24/03/2018,All,All,All,$,124000000
Exports,2018,25/03/2018,All,All,All,$,139000000
Exports,2018,26/03/2018,All,All,All,$,318000000
Exports,2018,27/03/2018,All,All,All,$,119000000
Exports,2018,28/03/2018,All,All,All,$,158000000
Exports,2018,29/03/2018,All,All,All,$,183000000
Exports,2018,30/03/2018,All,All,All,$,141000000
Exports,2018,31/03/2018,All,All,All,$,161000000
Exports,2018,01/04/2018,All,All,All,$,174000000
Exports,2018,02/04/2018,All,All,All,$,214000000
Exports,2018,03/04/2018,All,All,All,$,95000000
Exports,2018,04/04/2018,All,All,All,$,143000000
Exports,2018,05/04/2018,All,All,All,$,134000000
Exports,2018,06/04/2018,All,All,All,$,179000000
Exports,2018,07/04/2018,All,All,All,$,111000000
Exports,2018,08/04/2018,All,All,All,$,179000000
Exports,2018,09/04/2018,All,All,All,$,259000000
